Time,"Engine speed","Intake manifold absolute pressure","Boost pressure","Air mass flow","Mass flow through throttle valve bank 1","Relative air filling","Intake air temperature before throttle valve, measured","Air mass flow participating in combustion","Coolant temperature","Engine radiator outlet temperature (coolant)","Oil temperature","Ambient pressure","Ambient temperature","Vehicle speed","Throttle valve angle related to the lower stop","Actual gear","Lambda actual value","Actual ignition angle","Condition brake test switch actuated","Intake air temperature","Is position electrical wastegate (0: WG closed, 100 WG open)"
169.411,2635.00,13.83,0.85,64.00,65.75,21.00,104.36,64.00,87.86,78.75,95.00,14.24,36.00,124.40,15.45,6.00,16.00,-14.25,0.00,43.50,0.00
169.563,2635.00,13.83,0.85,64.00,65.75,21.00,104.36,64.00,87.86,78.75,95.00,14.24,36.00,124.40,15.45,6.00,16.00,-15.00,0.00,43.50,0.00
169.711,2635.00,13.83,0.85,64.00,65.75,21.00,104.36,64.00,87.86,78.75,95.00,14.24,36.00,124.40,15.45,6.00,16.00,-15.00,0.00,43.50,0.00
169.863,2635.00,13.83,0.85,64.00,65.75,21.00,104.36,64.00,87.86,78.75,95.00,14.24,36.00,124.40,15.45,6.00,16.00,-15.00,0.00,43.50,0.00
170.011,2635.00,13.83,0.85,64.00,65.75,21.00,104.36,64.00,87.86,78.75,95.00,14.24,36.00,124.40,15.45,6.00,16.00,-15.00,0.00,43.50,0.39
170.163,2489.00,13.83,0.85,64.00,65.75,21.00,104.36,64.00,87.86,78.75,95.00,14.24,36.00,124.40,15.45,6.00,16.00,-15.00,0.00,43.50,0.39
170.311,2489.00,13.52,0.85,64.00,65.75,21.00,104.36,64.00,87.86,78.75,95.00,14.24,36.00,124.40,15.45,6.00,16.00,-15.00,0.00,43.50,0.39
170.463,2489.00,13.52,0.68,64.00,65.75,21.00,104.36,64.00,87.86,78.75,95.00,14.24,36.00,124.40,15.45,6.00,16.00,-15.00,0.00,43.50,0.39
170.611,2489.00,13.52,0.68,48.00,65.75,21.00,104.36,64.00,87.86,78.75,95.00,14.24,36.00,124.40,15.45,6.00,16.00,-15.00,0.00,43.50,0.39
170.763,2489.00,13.52,0.68,48.00,48.88,21.00,104.36,64.00,87.86,78.75,95.00,14.24,36.00,124.40,15.45,6.00,16.00,-15.00,0.00,43.50,0.39
170.911,2489.00,13.52,0.68,48.00,48.88,16.50,104.36,64.00,87.86,78.75,95.00,14.24,36.00,124.40,15.45,6.00,16.00,-15.00,0.00,43.50,0.39
171.063,2489.00,13.52,0.68,48.00,48.88,16.50,95.85,64.00,87.86,78.75,95.00,14.24,36.00,124.40,15.45,6.00,16.00,-15.00,0.00,43.50,0.39
171.211,2489.00,13.52,0.68,48.00,48.88,16.50,95.85,56.50,87.86,78.75,95.00,14.24,36.00,124.40,15.45,6.00,16.00,-15.00,0.00,43.50,0.39
171.363,2489.00,13.52,0.68,48.00,48.88,16.50,95.85,56.50,84.76,78.75,95.00,14.24,36.00,124.40,15.45,6.00,16.00,-15.00,0.00,43.50,0.39
171.511,2489.00,13.52,0.68,48.00,48.88,16.50,95.85,56.50,84.76,77.25,95.00,14.24,36.00,124.40,15.45,6.00,16.00,-15.00,0.00,43.50,0.39
171.662,2489.00,13.52,0.68,48.00,48.88,16.50,95.85,56.50,84.76,77.25,94.00,14.24,36.00,124.40,15.45,6.00,16.00,-15.00,0.00,43.50,0.39
171.841,2489.00,13.52,0.68,48.00,48.88,16.50,95.85,56.50,84.76,77.25,94.00,14.24,36.00,124.40,15.45,6.00,16.00,-15.00,0.00,43.50,0.39
171.991,2489.00,13.52,0.68,48.00,48.88,16.50,95.85,56.50,84.76,77.25,94.00,14.24,36.00,124.40,15.45,6.00,16.00,-15.00,0.00,43.50,0.39
172.141,2489.00,13.52,0.68,48.00,48.88,16.50,95.85,56.50,84.76,77.25,94.00,14.24,36.00,118.80,15.45,6.00,16.00,-15.00,0.00,43.50,0.39
172.291,2489.00,13.52,0.68,48.00,48.88,16.50,95.85,56.50,84.76,77.25,94.00,14.24,36.00,118.80,18.71,6.00,16.00,-15.00,0.00,43.50,0.39
172.441,2489.00,13.52,0.68,48.00,48.88,16.50,95.85,56.50,84.76,77.25,94.00,14.24,36.00,118.80,18.71,6.00,16.00,-15.00,0.00,43.50,0.39
172.591,2489.00,13.52,0.68,48.00,48.88,16.50,95.85,56.50,84.76,77.25,94.00,14.24,36.00,118.80,18.71,6.00,0.98,-15.00,0.00,43.50,0.39
172.741,2489.00,13.52,0.68,48.00,48.88,16.50,95.85,56.50,84.76,77.25,94.00,14.24,36.00,118.80,18.71,6.00,0.98,28.50,0.00,43.50,0.39
172.891,2489.00,13.52,0.68,48.00,48.88,16.50,95.85,56.50,84.76,77.25,94.00,14.24,36.00,118.80,18.71,6.00,0.98,28.50,0.00,43.50,0.39
173.041,2489.00,13.52,0.68,48.00,48.88,16.50,95.85,56.50,84.76,77.25,94.00,14.24,36.00,118.80,18.71,6.00,0.98,28.50,0.00,43.50,0.39
173.191,2489.00,13.52,0.68,48.00,48.88,16.50,95.85,56.50,84.76,77.25,94.00,14.24,36.00,118.80,18.71,6.00,0.98,28.50,0.00,43.50,0.39
173.341,2431.00,13.52,0.68,48.00,48.88,16.50,95.85,56.50,84.76,77.25,94.00,14.24,36.00,118.80,18.71,6.00,0.98,28.50,0.00,43.50,0.39
173.491,2431.00,13.46,0.68,48.00,48.88,16.50,95.85,56.50,84.76,77.25,94.00,14.24,36.00,118.80,18.71,6.00,0.98,28.50,0.00,43.50,0.39
173.641,2431.00,13.46,0.95,48.00,48.88,16.50,95.85,56.50,84.76,77.25,94.00,14.24,36.00,118.80,18.71,6.00,0.98,28.50,0.00,43.50,0.39
173.791,2431.00,13.46,0.95,92.00,48.88,16.50,95.85,56.50,84.76,77.25,94.00,14.24,36.00,118.80,18.71,6.00,0.98,28.50,0.00,43.50,0.39
173.941,2431.00,13.46,0.95,92.00,91.09,16.50,95.85,56.50,84.76,77.25,94.00,14.24,36.00,118.80,18.71,6.00,0.98,28.50,0.00,43.50,0.39
174.090,2431.00,13.46,0.95,92.00,91.09,30.75,95.85,56.50,84.76,77.25,94.00,14.24,36.00,118.80,18.71,6.00,0.98,28.50,0.00,43.50,0.39
174.241,2431.00,13.46,0.95,92.00,91.09,30.75,88.14,56.50,84.76,77.25,94.00,14.24,36.00,118.80,18.71,6.00,0.98,28.50,0.00,43.50,0.39
174.391,2431.00,13.46,0.95,92.00,91.09,30.75,88.14,94.90,84.76,77.25,94.00,14.24,36.00,118.80,18.71,6.00,0.98,28.50,0.00,43.50,0.39
174.541,2431.00,13.46,0.95,92.00,91.09,30.75,88.14,94.90,84.46,77.25,94.00,14.24,36.00,118.80,18.71,6.00,0.98,28.50,0.00,43.50,0.39
174.691,2431.00,13.46,0.95,92.00,91.09,30.75,88.14,94.90,84.46,72.75,94.00,14.24,36.00,118.80,18.71,6.00,0.98,28.50,0.00,43.50,0.39
174.841,2431.00,13.46,0.95,92.00,91.09,30.75,88.14,94.90,84.46,72.75,94.00,14.24,36.00,118.80,18.71,6.00,0.98,28.50,0.00,43.50,0.39
174.991,2431.00,13.46,0.95,92.00,91.09,30.75,88.14,94.90,84.46,72.75,94.00,14.24,36.00,118.80,18.71,6.00,0.98,28.50,0.00,43.50,0.39
175.141,2431.00,13.46,0.95,92.00,91.09,30.75,88.14,94.90,84.46,72.75,94.00,14.24,36.00,118.80,18.71,6.00,0.98,28.50,0.00,43.50,0.39
175.291,2431.00,13.46,0.95,92.00,91.09,30.75,88.14,94.90,84.46,72.75,94.00,14.24,36.00,117.49,18.71,6.00,0.98,28.50,0.00,43.50,0.39
175.441,2431.00,13.46,0.95,92.00,91.09,30.75,88.14,94.90,84.46,72.75,94.00,14.24,36.00,117.49,17.48,6.00,0.98,28.50,0.00,43.50,0.39
175.591,2431.00,13.46,0.95,92.00,91.09,30.75,88.14,94.90,84.46,72.75,94.00,14.24,36.00,117.49,17.48,6.00,0.98,28.50,0.00,43.50,0.39
175.741,2431.00,13.46,0.95,92.00,91.09,30.75,88.14,94.90,84.46,72.75,94.00,14.24,36.00,117.49,17.48,6.00,1.00,28.50,0.00,43.50,0.39
175.891,2431.00,13.46,0.95,92.00,91.09,30.75,88.14,94.90,84.46,72.75,94.00,14.24,36.00,117.49,17.48,6.00,1.00,27.75,0.00,43.50,0.39
176.041,2431.00,13.46,0.95,92.00,91.09,30.75,88.14,94.90,84.46,72.75,94.00,14.24,36.00,117.49,17.48,6.00,1.00,27.75,0.00,43.50,0.39
176.191,2431.00,13.46,0.95,92.00,91.09,30.75,88.14,94.90,84.46,72.75,94.00,14.24,36.00,117.49,17.48,6.00,1.00,27.75,0.00,43.50,0.39
176.341,2431.00,13.46,0.95,92.00,91.09,30.75,88.14,94.90,84.46,72.75,94.00,14.24,36.00,117.49,17.48,6.00,1.00,27.75,0.00,43.50,0.39
176.491,2417.50,13.46,0.95,92.00,91.09,30.75,88.14,94.90,84.46,72.75,94.00,14.24,36.00,117.49,17.48,6.00,1.00,27.75,0.00,43.50,0.39
176.641,2417.50,13.51,0.95,92.00,91.09,30.75,88.14,94.90,84.46,72.75,94.00,14.24,36.00,117.49,17.48,6.00,1.00,27.75,0.00,43.50,0.39
176.791,2417.50,13.51,1.23,92.00,91.09,30.75,88.14,94.90,84.46,72.75,94.00,14.24,36.00,117.49,17.48,6.00,1.00,27.75,0.00,43.50,0.39
176.941,2417.50,13.51,1.23,96.00,91.09,30.75,88.14,94.90,84.46,72.75,94.00,14.24,36.00,117.49,17.48,6.00,1.00,27.75,0.00,43.50,0.39
177.091,2417.50,13.51,1.23,96.00,96.28,30.75,88.14,94.90,84.46,72.75,94.00,14.24,36.00,117.49,17.48,6.00,1.00,27.75,0.00,43.50,0.39
177.241,2417.50,13.51,1.23,96.00,96.28,36.00,88.14,94.90,84.46,72.75,94.00,14.24,36.00,117.49,17.48,6.00,1.00,27.75,0.00,43.50,0.39
177.391,2417.50,13.51,1.23,96.00,96.28,36.00,82.96,94.90,84.46,72.75,94.00,14.24,36.00,117.49,17.48,6.00,1.00,27.75,0.00,43.50,0.39
177.541,2417.50,13.51,1.23,96.00,96.28,36.00,82.96,99.60,84.46,72.75,94.00,14.24,36.00,117.49,17.48,6.00,1.00,27.75,0.00,43.50,0.39
177.691,2417.50,13.51,1.23,96.00,96.28,36.00,82.96,99.60,84.36,72.75,94.00,14.24,36.00,117.49,17.48,6.00,1.00,27.75,0.00,43.50,0.39
177.841,2417.50,13.51,1.23,96.00,96.28,36.00,82.96,99.60,84.36,69.00,94.00,14.24,36.00,117.49,17.48,6.00,1.00,27.75,0.00,43.50,0.39
177.991,2417.50,13.51,1.23,96.00,96.28,36.00,82.96,99.60,84.36,69.00,93.00,14.24,36.00,117.49,17.48,6.00,1.00,27.75,0.00,43.50,0.39
178.141,2417.50,13.51,1.23,96.00,96.28,36.00,82.96,99.60,84.36,69.00,93.00,14.24,36.00,117.49,17.48,6.00,1.00,27.75,0.00,43.50,0.39
178.291,2417.50,13.51,1.23,96.00,96.28,36.00,82.96,99.60,84.36,69.00,93.00,14.24,36.00,117.49,17.48,6.00,1.00,27.75,0.00,43.50,0.39
178.441,2417.50,13.51,1.23,96.00,96.28,36.00,82.96,99.60,84.36,69.00,93.00,14.24,36.00,117.39,17.48,6.00,1.00,27.75,0.00,43.50,0.39
178.591,2417.50,13.51,1.23,96.00,96.28,36.00,82.96,99.60,84.36,69.00,93.00,14.24,36.00,117.39,17.87,6.00,1.00,27.75,0.00,43.50,0.39
178.741,2417.50,13.51,1.23,96.00,96.28,36.00,82.96,99.60,84.36,69.00,93.00,14.24,36.00,117.39,17.87,6.00,1.00,27.75,0.00,43.50,0.39
178.891,2417.50,13.51,1.23,96.00,96.28,36.00,82.96,99.60,84.36,69.00,93.00,14.24,36.00,117.39,17.87,6.00,0.99,27.75,0.00,43.50,0.39
179.041,2417.50,13.51,1.23,96.00,96.28,36.00,82.96,99.60,84.36,69.00,93.00,14.24,36.00,117.39,17.87,6.00,0.99,25.50,0.00,43.50,0.39
179.191,2417.50,13.51,1.23,96.00,96.28,36.00,82.96,99.60,84.36,69.00,93.00,14.24,36.00,117.39,17.87,6.00,0.99,25.50,0.00,43.50,0.39
179.341,2417.50,13.51,1.23,96.00,96.28,36.00,82.96,99.60,84.36,69.00,93.00,14.24,36.00,117.39,17.87,6.00,0.99,25.50,0.00,43.50,0.39
179.521,2417.50,13.51,1.23,96.00,96.28,36.00,82.96,99.60,84.36,69.00,93.00,14.24,36.00,117.39,17.87,6.00,0.99,25.50,0.00,43.50,0.39
179.673,2412.50,13.51,1.23,96.00,96.28,36.00,82.96,99.60,84.36,69.00,93.00,14.24,36.00,117.39,17.87,6.00,0.99,25.50,0.00,43.50,0.39
179.821,2412.50,13.55,1.23,96.00,96.28,36.00,82.96,99.60,84.36,69.00,93.00,14.24,36.00,117.39,17.87,6.00,0.99,25.50,0.00,43.50,0.39
179.971,2412.50,13.55,1.52,96.00,96.28,36.00,82.96,99.60,84.36,69.00,93.00,14.24,36.00,117.39,17.87,6.00,0.99,25.50,0.00,43.50,0.39
180.121,2412.50,13.55,1.52,100.00,96.28,36.00,82.96,99.60,84.36,69.00,93.00,14.24,36.00,117.39,17.87,6.00,0.99,25.50,0.00,43.50,0.39
180.273,2412.50,13.55,1.52,100.00,99.62,36.00,82.96,99.60,84.36,69.00,93.00,14.24,36.00,117.39,17.87,6.00,0.99,25.50,0.00,43.50,0.39
180.421,2412.50,13.55,1.52,100.00,99.62,36.75,82.96,99.60,84.36,69.00,93.00,14.24,36.00,117.39,17.87,6.00,0.99,25.50,0.00,43.50,0.39
180.573,2412.50,13.55,1.52,100.00,99.62,36.75,79.65,99.60,84.36,69.00,93.00,14.24,36.00,117.39,17.87,6.00,0.99,25.50,0.00,43.50,0.39
180.721,2412.50,13.55,1.52,100.00,99.62,36.75,79.65,119.00,84.36,69.00,93.00,14.24,36.00,117.39,17.87,6.00,0.99,25.50,0.00,43.50,0.39
180.873,2412.50,13.55,1.52,100.00,99.62,36.75,79.65,119.00,86.16,69.00,93.00,14.24,36.00,117.39,17.87,6.00,0.99,25.50,0.00,43.50,0.39
181.021,2412.50,13.55,1.52,100.00,99.62,36.75,79.65,119.00,86.16,66.75,93.00,14.24,36.00,117.39,17.87,6.00,0.99,25.50,0.00,43.50,0.39
181.173,2412.50,13.55,1.52,100.00,99.62,36.75,79.65,119.00,86.16,66.75,93.00,14.24,36.00,117.39,17.87,6.00,0.99,25.50,0.00,43.50,0.39
181.321,2412.50,13.55,1.52,100.00,99.62,36.75,79.65,119.00,86.16,66.75,93.00,14.24,36.00,117.39,17.87,6.00,0.99,25.50,0.00,43.50,0.39
181.473,2412.50,13.55,1.52,100.00,99.62,36.75,79.65,119.00,86.16,66.75,93.00,14.24,36.50,117.39,17.87,6.00,0.99,25.50,0.00,43.50,0.39
181.620,2412.50,13.55,1.52,100.00,99.62,36.75,79.65,119.00,86.16,66.75,93.00,14.24,36.50,117.60,17.87,6.00,0.99,25.50,0.00,43.50,0.39
181.773,2412.50,13.55,1.52,100.00,99.62,36.75,79.65,119.00,86.16,66.75,93.00,14.24,36.50,117.60,16.32,6.00,0.99,25.50,0.00,43.50,0.39
181.921,2412.50,13.55,1.52,100.00,99.62,36.75,79.65,119.00,86.16,66.75,93.00,14.24,36.50,117.60,16.32,6.00,0.99,25.50,0.00,43.50,0.39
182.073,2412.50,13.55,1.52,100.00,99.62,36.75,79.65,119.00,86.16,66.75,93.00,14.24,36.50,117.60,16.32,6.00,1.00,25.50,0.00,43.50,0.39
182.221,2412.50,13.55,1.52,100.00,99.62,36.75,79.65,119.00,86.16,66.75,93.00,14.24,36.50,117.60,16.32,6.00,1.00,22.50,0.00,43.50,0.39
182.373,2412.50,13.55,1.52,100.00,99.62,36.75,79.65,119.00,86.16,66.75,93.00,14.24,36.50,117.60,16.32,6.00,1.00,22.50,0.00,43.50,0.39
182.521,2412.50,13.55,1.52,100.00,99.62,36.75,79.65,119.00,86.16,66.75,93.00,14.24,36.50,117.60,16.32,6.00,1.00,22.50,0.00,43.50,0.39
182.673,2412.50,13.55,1.52,100.00,99.62,36.75,79.65,119.00,86.16,66.75,93.00,14.24,36.50,117.60,16.32,6.00,1.00,22.50,0.00,43.50,0.39
182.821,1879.50,13.55,1.52,100.00,99.62,36.75,79.65,119.00,86.16,66.75,93.00,14.24,36.50,117.60,16.32,6.00,1.00,22.50,0.00,43.50,0.39
182.973,1879.50,13.53,1.52,100.00,99.62,36.75,79.65,119.00,86.16,66.75,93.00,14.24,36.50,117.60,16.32,6.00,1.00,22.50,0.00,43.50,0.39
183.121,1879.50,13.53,1.45,100.00,99.62,36.75,79.65,119.00,86.16,66.75,93.00,14.24,36.50,117.60,16.32,6.00,1.00,22.50,0.00,43.50,0.39
183.271,1879.50,13.53,1.45,84.00,99.62,36.75,79.65,119.00,86.16,66.75,93.00,14.24,36.50,117.60,16.32,6.00,1.00,22.50,0.00,43.50,0.39
183.421,1879.50,13.53,1.45,84.00,82.62,36.75,79.65,119.00,86.16,66.75,93.00,14.24,36.50,117.60,16.32,6.00,1.00,22.50,0.00,43.50,0.39
183.573,1879.50,13.53,1.45,84.00,82.62,39.75,79.65,119.00,86.16,66.75,93.00,14.24,36.50,117.60,16.32,6.00,1.00,22.50,0.00,43.50,0.39
183.721,1879.50,13.53,1.45,84.00,82.62,39.75,77.85,119.00,86.16,66.75,93.00,14.24,36.50,117.60,16.32,6.00,1.00,22.50,0.00,43.50,0.39
183.873,1879.50,13.53,1.45,84.00,82.62,39.75,77.85,84.40,86.16,66.75,93.00,14.24,36.50,117.60,16.32,6.00,1.00,22.50,0.00,43.50,0.39
184.020,1879.50,13.53,1.45,84.00,82.62,39.75,77.85,84.40,88.46,66.75,93.00,14.24,36.50,117.60,16.32,6.00,1.00,22.50,0.00,43.50,0.39
184.173,1879.50,13.53,1.45,84.00,82.62,39.75,77.85,84.40,88.46,65.25,93.00,14.24,36.50,117.60,16.32,6.00,1.00,22.50,0.00,43.50,0.39
184.321,1879.50,13.53,1.45,84.00,82.62,39.75,77.85,84.40,88.46,65.25,92.00,14.24,36.50,117.60,16.32,6.00,1.00,22.50,0.00,43.50,0.39
184.471,1879.50,13.53,1.45,84.00,82.62,39.75,77.85,84.40,88.46,65.25,92.00,14.24,36.50,117.60,16.32,6.00,1.00,22.50,0.00,43.50,0.39
184.621,1879.50,13.53,1.45,84.00,82.62,39.75,77.85,84.40,88.46,65.25,92.00,14.24,36.50,117.60,16.32,6.00,1.00,22.50,0.00,43.50,0.39
184.773,1879.50,13.53,1.45,84.00,82.62,39.75,77.85,84.40,88.46,65.25,92.00,14.24,36.50,117.53,16.32,6.00,1.00,22.50,0.00,43.50,0.39
184.921,1879.50,13.53,1.45,84.00,82.62,39.75,77.85,84.40,88.46,65.25,92.00,14.24,36.50,117.53,16.87,6.00,1.00,22.50,0.00,43.50,0.39
185.072,1879.50,13.53,1.45,84.00,82.62,39.75,77.85,84.40,88.46,65.25,92.00,14.24,36.50,117.53,16.87,6.00,1.00,22.50,0.00,43.50,0.39
185.221,1879.50,13.53,1.45,84.00,82.62,39.75,77.85,84.40,88.46,65.25,92.00,14.24,36.50,117.53,16.87,6.00,0.98,22.50,0.00,43.50,0.39
185.373,1879.50,13.53,1.45,84.00,82.62,39.75,77.85,84.40,88.46,65.25,92.00,14.24,36.50,117.53,16.87,6.00,0.98,24.00,0.00,43.50,0.39
185.521,1879.50,13.53,1.45,84.00,82.62,39.75,77.85,84.40,88.46,65.25,92.00,14.24,36.50,117.53,16.87,6.00,0.98,24.00,0.00,43.50,0.39
185.673,1879.50,13.53,1.45,84.00,82.62,39.75,77.85,84.40,88.46,65.25,92.00,14.24,36.50,117.53,16.87,6.00,0.98,24.00,0.00,43.50,0.39
185.821,1879.50,13.53,1.45,84.00,82.62,39.75,77.85,84.40,88.46,65.25,92.00,14.24,36.50,117.53,16.87,6.00,0.98,24.00,0.00,43.50,0.39
185.973,1883.00,13.53,1.45,84.00,82.62,39.75,77.85,84.40,88.46,65.25,92.00,14.24,36.50,117.53,16.87,6.00,0.98,24.00,0.00,43.50,0.39
186.121,1883.00,13.53,1.45,84.00,82.62,39.75,77.85,84.40,88.46,65.25,92.00,14.24,36.50,117.53,16.87,6.00,0.98,24.00,0.00,43.50,0.39
186.273,1883.00,13.53,1.47,84.00,82.62,39.75,77.85,84.40,88.46,65.25,92.00,14.24,36.50,117.53,16.87,6.00,0.98,24.00,0.00,43.50,0.39
186.421,1883.00,13.53,1.47,88.00,82.62,39.75,77.85,84.40,88.46,65.25,92.00,14.24,36.50,117.53,16.87,6.00,0.98,24.00,0.00,43.50,0.39
186.573,1883.00,13.53,1.47,88.00,85.19,39.75,77.85,84.40,88.46,65.25,92.00,14.24,36.50,117.53,16.87,6.00,0.98,24.00,0.00,43.50,0.39
186.721,1883.00,13.53,1.47,88.00,85.19,40.50,77.85,84.40,88.46,65.25,92.00,14.24,36.50,117.53,16.87,6.00,0.98,24.00,0.00,43.50,0.39
186.873,1883.00,13.53,1.47,88.00,85.19,40.50,76.44,84.40,88.46,65.25,92.00,14.24,36.50,117.53,16.87,6.00,0.98,24.00,0.00,43.50,0.39
187.021,1883.00,13.53,1.47,88.00,85.19,40.50,76.44,88.50,88.46,65.25,92.00,14.24,36.50,117.53,16.87,6.00,0.98,24.00,0.00,43.50,0.39
187.201,1883.00,13.53,1.47,88.00,85.19,40.50,76.44,88.50,90.76,65.25,92.00,14.24,36.50,117.53,16.87,6.00,0.98,24.00,0.00,43.50,0.39
187.352,1883.00,13.53,1.47,88.00,85.19,40.50,76.44,88.50,90.76,65.25,92.00,14.24,36.50,117.53,16.87,6.00,0.98,24.00,0.00,43.50,0.39
187.501,1883.00,13.53,1.47,88.00,85.19,40.50,76.44,88.50,90.76,65.25,92.00,14.24,36.50,117.53,16.87,6.00,0.98,24.00,0.00,43.50,0.39
187.651,1883.00,13.53,1.47,88.00,85.19,40.50,76.44,88.50,90.76,65.25,92.00,14.24,36.50,117.53,16.87,6.00,0.98,24.00,0.00,43.50,0.39
187.801,1883.00,13.53,1.47,88.00,85.19,40.50,76.44,88.50,90.76,65.25,92.00,14.24,36.50,117.53,16.87,6.00,0.98,24.00,0.00,43.50,0.39
187.952,1883.00,13.53,1.47,88.00,85.19,40.50,76.44,88.50,90.76,65.25,92.00,14.24,36.50,117.40,16.87,6.00,0.98,24.00,0.00,43.50,0.39
188.101,1883.00,13.53,1.47,88.00,85.19,40.50,76.44,88.50,90.76,65.25,92.00,14.24,36.50,117.40,17.37,6.00,0.98,24.00,0.00,43.50,0.39
188.252,1883.00,13.53,1.47,88.00,85.19,40.50,76.44,88.50,90.76,65.25,92.00,14.24,36.50,117.40,17.37,6.00,0.98,24.00,0.00,43.50,0.39
188.401,1883.00,13.53,1.47,88.00,85.19,40.50,76.44,88.50,90.76,65.25,92.00,14.24,36.50,117.40,17.37,6.00,0.99,24.00,0.00,43.50,0.39
188.552,1883.00,13.53,1.47,88.00,85.19,40.50,76.44,88.50,90.76,65.25,92.00,14.24,36.50,117.40,17.37,6.00,0.99,22.50,0.00,43.50,0.39
188.700,1883.00,13.53,1.47,88.00,85.19,40.50,76.44,88.50,90.76,65.25,92.00,14.24,36.50,117.40,17.37,6.00,0.99,22.50,0.00,43.50,0.39
188.851,1883.00,13.53,1.47,88.00,85.19,40.50,76.44,88.50,90.76,65.25,92.00,14.24,36.50,117.40,17.37,6.00,0.99,22.50,0.00,43.50,0.39
189.001,1883.00,13.53,1.47,88.00,85.19,40.50,76.44,88.50,90.76,65.25,92.00,14.24,36.50,117.40,17.37,6.00,0.99,22.50,0.00,43.50,0.39
189.152,1881.50,13.53,1.47,88.00,85.19,40.50,76.44,88.50,90.76,65.25,92.00,14.24,36.50,117.40,17.37,6.00,0.99,22.50,0.00,43.50,0.39
189.301,1881.50,13.60,1.47,88.00,85.19,40.50,76.44,88.50,90.76,65.25,92.00,14.24,36.50,117.40,17.37,6.00,0.99,22.50,0.00,43.50,0.39
189.452,1881.50,13.60,1.57,88.00,85.19,40.50,76.44,88.50,90.76,65.25,92.00,14.24,36.50,117.40,17.37,6.00,0.99,22.50,0.00,43.50,0.39
189.601,1881.50,13.60,1.57,92.00,85.19,40.50,76.44,88.50,90.76,65.25,92.00,14.24,36.50,117.40,17.37,6.00,0.99,22.50,0.00,43.50,0.39
189.752,1881.50,13.60,1.57,92.00,92.84,40.50,76.44,88.50,90.76,65.25,92.00,14.24,36.50,117.40,17.37,6.00,0.99,22.50,0.00,43.50,0.39
189.901,1881.50,13.60,1.57,92.00,92.84,42.75,76.44,88.50,90.76,65.25,92.00,14.24,36.50,117.40,17.37,6.00,0.99,22.50,0.00,43.50,0.39
190.052,1881.50,13.60,1.57,92.00,92.84,42.75,75.46,88.50,90.76,65.25,92.00,14.24,36.50,117.40,17.37,6.00,0.99,22.50,0.00,43.50,0.39
190.201,1881.50,13.60,1.57,92.00,92.84,42.75,75.46,94.40,90.76,65.25,92.00,14.24,36.50,117.40,17.37,6.00,0.99,22.50,0.00,43.50,0.39
190.351,1881.50,13.60,1.57,92.00,92.84,42.75,75.46,94.40,92.76,65.25,92.00,14.24,36.50,117.40,17.37,6.00,0.99,22.50,0.00,43.50,0.39
190.501,1881.50,13.60,1.57,92.00,92.84,42.75,75.46,94.40,92.76,64.50,92.00,14.24,36.50,117.40,17.37,6.00,0.99,22.50,0.00,43.50,0.39
190.652,1881.50,13.60,1.57,92.00,92.84,42.75,75.46,94.40,92.76,64.50,92.00,14.24,36.50,117.40,17.37,6.00,0.99,22.50,0.00,43.50,0.39
190.801,1881.50,13.60,1.57,92.00,92.84,42.75,75.46,94.40,92.76,64.50,92.00,14.23,36.50,117.40,17.37,6.00,0.99,22.50,0.00,43.50,0.39
190.950,1881.50,13.60,1.57,92.00,92.84,42.75,75.46,94.40,92.76,64.50,92.00,14.23,36.50,117.40,17.37,6.00,0.99,22.50,0.00,43.50,0.39
191.101,1881.50,13.60,1.57,92.00,92.84,42.75,75.46,94.40,92.76,64.50,92.00,14.23,36.50,117.72,17.37,6.00,0.99,22.50,0.00,43.50,0.39
191.252,1881.50,13.60,1.57,92.00,92.84,42.75,75.46,94.40,92.76,64.50,92.00,14.23,36.50,117.72,17.76,6.00,0.99,22.50,0.00,43.50,0.39
191.401,1881.50,13.60,1.57,92.00,92.84,42.75,75.46,94.40,92.76,64.50,92.00,14.23,36.50,117.72,17.76,6.00,0.99,22.50,0.00,43.50,0.39
191.552,1881.50,13.60,1.57,92.00,92.84,42.75,75.46,94.40,92.76,64.50,92.00,14.23,36.50,117.72,17.76,6.00,1.06,22.50,0.00,43.50,0.39
191.701,1881.50,13.60,1.57,92.00,92.84,42.75,75.46,94.40,92.76,64.50,92.00,14.23,36.50,117.72,17.76,6.00,1.06,22.50,0.00,43.50,0.39
191.852,1881.50,13.60,1.57,92.00,92.84,42.75,75.46,94.40,92.76,64.50,92.00,14.23,36.50,117.72,17.76,6.00,1.06,22.50,0.00,43.50,0.39
192.001,1881.50,13.60,1.57,92.00,92.84,42.75,75.46,94.40,92.76,64.50,92.00,14.23,36.50,117.72,17.76,6.00,1.06,22.50,0.00,43.50,0.39
192.152,1881.50,13.60,1.57,92.00,92.84,42.75,75.46,94.40,92.76,64.50,92.00,14.23,36.50,117.72,17.76,6.00,1.06,22.50,0.00,43.50,0.78
192.301,1881.00,13.60,1.57,92.00,92.84,42.75,75.46,94.40,92.76,64.50,92.00,14.23,36.50,117.72,17.76,6.00,1.06,22.50,0.00,43.50,0.78
192.451,1881.00,13.56,1.57,92.00,92.84,42.75,75.46,94.40,92.76,64.50,92.00,14.23,36.50,117.72,17.76,6.00,1.06,22.50,0.00,43.50,0.78
