file,samples,duration_s,duration_min,rate_hz,channels_present,steady_windows,max_rpm,max_speed_kmh,max_load_pct,max_map_kpa,min_lambda,warm_samples
3aca2ec1-20260907_072817.csv,11893,2506.9,41.78,4.74,19,17,5529.0,143.0,189.0,250.0,0.86,11878
3f64372e-20260907_070041.csv,276,41.9,0.7,6.59,19,0,1265.0,0.0,51.0,80.0,0.98,0
670063b2-20260907_142018.csv,2923,441.0,7.35,6.63,19,4,6538.0,202.0,182.2,286.0,0.79,2912
683640a0-20260907_070212.csv,9686,1465.2,24.42,6.61,19,9,5486.0,131.0,165.0,215.0,0.88,8675
7475b5d7-20260908_142743.csv,14340,3306.6,55.11,4.34,25,26,6784.0,230.0,191.2,273.0,0.78,14321
cb67b01f-20260908_084142.csv,5914,1297.1,21.62,4.56,21,3,5619.0,199.0,184.5,315.0,0.82,5900
f51686d7-20260906_154426.csv,211,45.9,0.77,4.59,25,0,0.0,0.0,0.0,,0.98,0
fb988991-20260906_143515.csv,3452,979.7,16.33,3.52,24,0,2774.0,142.0,46.5,103.0,0.9,3033
