rpm,v_kmh,air_kgh,air2_kgh,air_comb,load_pct,map_raw,boost,p_amb,t_amb,iat_pre,iat_amb,ect,rad_out,oil,tps,gear,lam,spark,wg,brake,spk_tgt,oil_filt,bst_tgt,trq_whl,air_gps,map_kpa,corr_flow,press_ratio,t_start,t_span,max_gap,load_ptp,source,_merged,t_span_min,t_span_max,n_sources
1551.2608299595142,96.70944804318488,61.05357624831309,61.78718960863698,67.23262820512821,36.40394736842106,13.744198717948718,0.9740883940620783,14.447849865047235,36.05246288798921,66.39906342780027,52.89230769230769,93.28205128205127,50.7060475708502,93.7877192982456,14.956173414304992,6.0,0.993698717948718,17.58701923076923,0.0,0.0,17.8125,105.0,0.0073076923076923084,118.83088461538459,16.959326735642524,52.04561435836483,0.018107614645197438,1.0891808943801118,297.276,65.61000000000001,0.4519999999999982,1.2479239015551864,3aca2ec1-20260907_072817.csv+7475b5d7-20260908_142743.csv,2,62.49000000000001,68.73000000000002,2
1550.7526315789473,96.66505263157894,49.5859649122807,48.42722807017543,50.425614035087726,27.847368421052632,13.734000000000002,0.7761754385964913,14.46687719298246,32.03333333333333,56.44477192982455,nan,92.99964912280703,39.89473684210526,93.10877192982456,14.328982456140352,6.0,0.9972982456140349,18.65,nan,0.0,nan,nan,nan,nan,13.7738791423002,42.920308690776636,0.014444956924144327,1.0751543222334787,2154.098,68.30999999999995,0.2719999999999345,0.3231903231903232,3aca2ec1-20260907_072817.csv,1,68.30999999999995,68.30999999999995,1
1726.1186131386862,107.5438686131387,65.66423357664233,65.4401094890511,68.24963503649636,33.36952554744526,13.488576642335765,0.8745620437956204,14.208649635036497,37.28102189781022,77.18678832116787,47.67153284671533,92.62021897810217,53.707116788321166,92.55474452554745,15.92755474452555,6.0,0.995,22.152372262773724,0.7287591240875914,0.0,nan,nan,nan,nan,18.24006488240065,50.35769265898574,0.019968951381712067,1.0832083262094732,874.234,65.84999999999991,0.4519999999999982,0.4270363382823394,cb67b01f-20260908_084142.csv,1,65.84999999999991,65.84999999999991,1
1878.042642242186,117.31111122028823,61.41757439640651,60.850181452367586,63.30414093206064,28.761492841100505,13.44849883024518,0.6603096107055961,14.177615291035002,40.086091615197454,69.51580867490175,49.581730769230774,88.07671766797678,53.20714486243683,86.05945629795995,15.707191980160959,6.0,0.9939739846528167,23.369357102751263,0.9185036496350364,0.0,23.58605769230769,94.85697115384616,0.04452884615384616,108.66291346153847,17.060437332335145,43.87821074757511,0.01878011358821841,1.06793892810303,3050.482,63.44049999999999,0.45200000000022555,0.8627039404636961,7475b5d7-20260908_142743.csv+cb67b01f-20260908_084142.csv,6,62.16100000000006,65.82100000000003,2
1876.2346153846154,117.19617307692307,79.87692307692308,79.03994230769231,81.14673076923077,36.93173076923077,13.487653846153847,1.2104903846153847,14.171471153846152,42.22692307692307,81.05730769230769,54.76802884615385,81.67980769230769,63.328125,84.31153846153846,16.874278846153846,6.0,0.9949038461538462,22.434375,1.046625,0.0,22.684615384615384,95.62211538461538,0.03648076923076923,150.49945192307692,22.188034188034187,56.043652019982055,0.024620955223325216,1.107562792055469,2532.17,62.31750000000011,0.45200000000022555,0.8746675011735253,7475b5d7-20260908_142743.csv,4,62.159999999999854,62.49000000000024,1
1875.9134615384614,117.11123076923077,88.23076923076923,89.22546153846154,90.98653846153847,41.146153846153844,13.522307692307693,1.6108461538461538,14.169230769230769,41.71153846153846,77.41115384615385,51.75,88.91153846153847,61.79423076923077,86.90384615384616,17.557653846153844,6.0,0.9950000000000002,20.601923076923075,1.17,0.0,21.115384615384617,98.42884615384615,0.05203846153846155,180.19557692307694,24.50854700854701,61.252673417209195,0.027076504396384222,1.1364111622217516,2925.593,62.15800000000036,0.2430000000003929,0.4374649467190129,7475b5d7-20260908_142743.csv,1,62.15800000000036,62.15800000000036,1
1879.8557692307693,117.22049999999997,107.67692307692307,106.72873076923075,107.7203846153846,49.16826923076923,13.87857692307692,2.3623846153846153,14.151923076923078,41.93076923076923,75.9645769230769,53.2875,85.72538461538461,56.65096153846154,82.17307692307692,18.45253846153846,6.0,0.9953461538461539,14.910576923076922,0.45,0.0,16.35,91.97884615384615,0.4561153846153846,212.74961538461537,29.910256410256412,73.11101939977281,0.033162400631465694,1.190750530674691,2657.0,62.51999999999998,0.4530000000004293,0.5186271633910238,7475b5d7-20260908_142743.csv,1,62.51999999999998,62.51999999999998,1
2037.6721153846154,127.40446153846155,73.17692307692307,72.1941923076923,74.835,31.21153846153846,13.518528846153847,0.8994134615384615,14.250692307692308,42.94615384615385,74.83522115384616,54.87620192307692,83.71855769230768,62.386298076923076,83.20961538461538,16.48410576923077,6.0,0.9931923076923077,24.857451923076923,0.4215,0.0,24.902884615384615,93.94399038461539,0.03216346153846154,107.9940576923077,20.326923076923077,47.98460925330412,0.02242967687747508,1.084776198478762,1844.326,62.3245,0.4519999999999982,0.4294365938704349,7475b5d7-20260908_142743.csv,4,62.22000000000003,62.42899999999986,1
2038.8354121032514,127.33993840095665,86.93235859911344,87.13686636172315,88.81546072693652,37.25153305325548,13.670662145635964,1.2411325487084546,14.375266610831938,38.82052248421595,72.54486454878982,54.82211538461539,89.71629838350547,54.82015687411416,87.976799087656,17.052963352525108,6.0,0.9945755520743619,23.72279057229467,0.39,0.0,23.95673076923077,94.05,0.015,137.92396153846155,24.147877388642616,55.339606795247136,0.025915928543231197,1.1084573834381637,1315.542,63.44066666666665,0.27299999999991087,0.2930691711798177,3aca2ec1-20260907_072817.csv+670063b2-20260907_142018.csv+7475b5d7-20260908_142743.csv,3,59.81999999999999,68.2489999999998,3
2040.160298582996,127.39713242240215,104.9970310391363,104.66339827935224,106.51875000000001,44.68264170040486,13.727533569500677,2.2682565789473688,14.294028677462887,40.19455128205128,81.24723751686909,55.00769230769231,86.204669365722,66.44829200404858,87.49615384615385,17.795705634278,6.0,0.9948537449392714,19.539992408906883,0.7150000000000002,0.0,20.552884615384617,98.19903846153846,0.0,185.62982051282052,29.16584195531564,65.61519477541803,0.031818010401469116,1.1822404520566598,1594.064,63.772249999999985,0.44899999999984175,0.5840847874458368,3aca2ec1-20260907_072817.csv+7475b5d7-20260908_142743.csv,4,62.24800000000005,68.19000000000005,2
2258.3190728609306,141.08133464929236,118.63437565696226,118.7062115357489,120.88736288731104,45.77944939779871,13.800683686651883,2.8164770444665974,14.38083839880916,37.53377876223222,81.47747007914064,53.933653846153845,90.91512737777957,54.82170083718186,88.35041096169104,18.071921838951845,6.0,0.9924032002115842,20.15308043252701,0.24750000000000003,0.0,21.797596153846154,99.17379807692308,0.0007596153846153846,191.2318173076923,32.95399323804507,65.796643405341,0.03534608968839444,1.2202118903983643,209.463,64.2247,0.48099999999999454,0.789405684754522,3aca2ec1-20260907_072817.csv+670063b2-20260907_142018.csv+7475b5d7-20260908_142743.csv,10,59.849999999999994,68.57999999999993,3
2275.7576754385964,142.06812112010797,137.26086369770582,137.2669500674764,138.5548245614035,52.029579959514166,14.047482118758435,3.682654183535762,14.387230769230772,37.03333333333333,86.79699730094467,54.92884615384615,88.68398448043186,59.12252024291499,90.46538461538461,19.477127530364374,6.0,0.9921474358974358,15.674620445344129,1.6534230769230773,0.0,16.615384615384617,103.82884615384616,0.40576923076923077,218.7569230769231,38.128017693807166,74.36530363823987,0.040944799545805446,1.2815387970292216,1418.615,65.16149999999999,0.24300000000016553,0.8795173930202401,3aca2ec1-20260907_072817.csv+7475b5d7-20260908_142743.csv,2,62.160999999999945,68.16200000000003,2
2438.9622166246854,97.63672544080603,57.088161209068005,56.18468513853904,58.92581863979848,20.449307304785897,13.485692695214105,0.5941183879093199,14.218198992443325,34.16120906801008,60.31061712846348,nan,92.4790176322418,46.2345717884131,92.9030226700252,14.549156171284636,6.0,0.9947103274559195,24.754722921914357,nan,0.0,nan,nan,nan,nan,15.857822558074448,30.431029800903175,0.016979040108501462,1.063044035121801,669.486,59.99950000000001,0.2999999999999545,0.5852579852579852,683640a0-20260907_070212.csv,2,59.90899999999999,60.09000000000003,1
2442.793450881612,97.73420654911838,74.5793450881612,73.65448362720403,76.5375314861461,26.58249370277078,13.50556675062972,0.9214105793450883,14.244307304785895,34.1007556675063,57.50130982367757,nan,92.83178841309824,42.198362720403026,92.0,16.71037783375315,6.0,0.9923929471032746,29.104534005037785,nan,0.0,nan,nan,nan,nan,20.716484746711448,39.682006408077115,0.022140291505733174,1.0864151951902674,789.815,59.789999999999964,0.18200000000001637,0.28214057280932414,683640a0-20260907_070212.csv,1,59.789999999999964,59.789999999999964,1
2581.517707366653,94.4238014052764,72.88899494748627,72.72134476409327,74.41793951713878,24.682202041628,13.497547453857145,0.8650592013198404,14.235574322035148,33.166666666666664,60.45792066227702,nan,93.0881983295771,48.52126032966547,92.88547439126785,16.414445092580316,5.0,0.9935326056535124,29.864315701091517,nan,0.0,nan,nan,nan,nan,20.246943040968407,36.33203543600871,0.02161355421785927,1.0824058423077527,504.213,62.96966666666665,0.4519999999999982,0.6079142488716957,3aca2ec1-20260907_072817.csv+683640a0-20260907_070212.csv,3,60.06000000000006,68.72899999999993,2
2615.315789473684,127.41810526315791,95.42456140350876,94.39761403508771,97.48771929824562,31.763157894736842,13.523070175438596,1.6024385964912282,14.261596491228069,31.916666666666664,61.42270175438597,nan,93.2619298245614,40.67236842105263,91.1,17.256508771929823,6.0,0.9942280701754387,29.151315789473685,nan,0.0,nan,nan,nan,nan,26.50682261208577,46.0585814337652,0.02819965997785865,1.1351152424787503,685.476,58.64949999999999,0.42000000000007276,0.5531402841394302,3aca2ec1-20260907_072817.csv,2,48.99199999999996,68.30700000000002,1
2865.274290311205,139.62709155426253,148.29413735343383,147.6048161861941,151.1958674953716,44.67210724676012,13.725556554703342,3.2025686326368685,14.399682094683948,36.925251256281406,85.06273485850302,nan,88.53726791854007,57.926438111610686,87.44472361809045,18.86868681124923,6.0,0.9950516618178613,24.68452790267125,nan,0.0,nan,nan,nan,nan,41.1928159315094,63.349505362318524,0.04373656921107539,1.2472396220948192,134.342,64.21549999999993,0.4519999999999982,0.4073173851861328,3aca2ec1-20260907_072817.csv+670063b2-20260907_142018.csv,2,60.06099999999998,68.36999999999989,2
2917.3736842105263,142.11298245614034,146.13333333333333,146.06940350877196,148.29087719298244,43.410526315789475,13.732000000000001,3.794526315789474,14.433719298245617,31.582456140350878,72.39536842105264,nan,93.04,40.51052631578948,90.0,18.618245614035082,6.0,0.998,25.45,nan,0.0,nan,nan,nan,nan,40.592592592592595,60.64115586955039,0.04263762059550447,1.288669047140711,1561.145,68.16100000000006,0.24300000000016553,0.19004607177497573,3aca2ec1-20260907_072817.csv,1,68.16100000000006,68.16100000000006,1
2931.1738035264484,117.44972292191436,76.41309823677582,76.12967254408059,78.43047858942066,22.619017632241814,13.455012594458436,0.9603022670025186,14.188564231738036,33.1624685138539,59.662493702770774,nan,92.66050377833753,43.141057934508815,90.80856423173803,16.449899244332496,6.0,0.9937783375314863,30.702770780856422,nan,0.0,nan,nan,nan,nan,21.22586062132661,33.15433370931619,0.022736436481038305,1.089459457446658,984.756,60.00100000000009,0.21000000000003638,0.49736908043096967,683640a0-20260907_070212.csv,1,60.00100000000009,60.00100000000009,1
2935.2814861460956,117.43127204030228,115.23929471032744,114.69045340050377,117.35957178841309,34.03337531486146,13.459622166246852,2.0273425692695213,14.203539042821161,33.626574307304786,64.37982367758187,nan,92.74476070528966,47.15459697732997,91.62090680100755,18.364596977329974,6.0,0.9918136020151134,30.6205919395466,nan,0.0,nan,nan,nan,nan,32.01091519731318,49.16848256601989,0.03428190608156176,1.1660489230092979,864.668,59.89499999999998,0.2699999999999818,0.5390969786126514,683640a0-20260907_070212.csv,2,59.789999999999964,60.0,1
3178.403846153846,127.38080769230767,108.93846153846154,109.183,111.7915384615385,30.28846153846154,13.607692307692307,1.6255,14.341423076923078,42.71153846153846,75.83134615384616,53.92788461538461,84.21846153846155,66.89134615384616,83.0,18.67646153846154,6.0,0.9945769230769232,34.71923076923077,0.0,0.0,34.54038461538462,93.75,0.0009615384615384616,153.45907692307694,30.26068376068376,44.285046038606936,0.033141312877571855,1.1360636420684347,1413.553,62.36999999999989,0.4500000000000455,0.6685714285714285,7475b5d7-20260908_142743.csv,1,62.36999999999989,62.36999999999989,1
4183.734016531714,127.20872165991904,156.81592442645075,156.67440941295547,159.12739372469636,32.462664473684214,13.609271423751688,3.0223677462887992,14.363503542510124,34.69983130904183,71.147455634278,53.864423076923075,91.89454453441294,55.888663967611336,90.61771255060728,19.78596575573549,5.0346153846153845,0.9958333333333333,34.51258856275304,0.0,0.0,33.38942307692308,95.53846153846153,0.0,221.8830769230769,43.55997900734743,46.91239228415032,0.04643701712491424,1.235112789825849,1481.203,66.80325000000002,0.4800000000000182,0.19629225736095962,3aca2ec1-20260907_072817.csv+7475b5d7-20260908_142743.csv,4,62.221000000000004,68.43200000000002,2
5052.501259445844,117.48982367758188,177.4206549118388,177.14000000000001,179.3125944584383,30.18513853904282,13.4572040302267,3.7617632241813603,14.208463476070534,33.43073047858942,82.37748110831235,nan,94.59274559193955,74.23299748110831,97.77581863979849,20.48851385390428,4.0,0.9943073047858942,36.49874055415617,nan,0.0,nan,nan,nan,nan,49.28351525328855,45.132775772453485,0.05274603406249711,1.2905717279060256,1139.737,59.669999999999845,0.18299999999999272,0.27331330579546875,683640a0-20260907_070212.csv,1,59.669999999999845,59.669999999999845,1
